,Date,Price
514,2011-12-13,3.25
515,2011-12-14,3.15
516,2011-12-15,3.2
517,2011-12-16,3.2
518,2011-12-17,3.2
519,2011-12-18,3.19
520,2011-12-19,3.52
521,2011-12-20,3.95
522,2011-12-21,3.89
523,2011-12-22,3.89
524,2011-12-23,3.95
525,2011-12-24,3.94
526,2011-12-25,4.22
527,2011-12-26,4.02
528,2011-12-27,4.07
529,2011-12-28,4.19
530,2011-12-29,4.17
531,2011-12-30,4.25
532,2011-12-31,4.72
533,2012-01-01,5.27
534,2012-01-02,5.22
535,2012-01-03,4.88
536,2012-01-04,5.57
537,2012-01-05,6.95
538,2012-01-06,6.7
539,2012-01-07,6.81
540,2012-01-08,7.11
541,2012-01-09,6.33
542,2012-01-10,6.36
543,2012-01-11,6.9
544,2012-01-12,6.8
545,2012-01-13,6.41
546,2012-01-14,6.75
547,2012-01-15,7.0
548,2012-01-16,6.68
549,2012-01-17,5.6
550,2012-01-18,5.92
551,2012-01-19,6.36
552,2012-01-20,6.49
553,2012-01-21,6.18
554,2012-01-22,6.31
555,2012-01-23,6.36
556,2012-01-24,6.29
557,2012-01-25,5.75
558,2012-01-26,5.34
559,2012-01-27,5.29
560,2012-01-28,5.63
561,2012-01-29,5.38
562,2012-01-30,5.49
563,2012-01-31,5.48
564,2012-02-01,6.08
565,2012-02-02,6.1
566,2012-02-03,5.96
567,2012-02-04,5.87
568,2012-02-05,5.69
569,2012-02-06,5.45
570,2012-02-07,5.69
571,2012-02-08,5.6
572,2012-02-09,5.83
573,2012-02-10,5.91
574,2012-02-11,5.6
575,2012-02-12,5.51
576,2012-02-13,5.26
577,2012-02-14,4.46
578,2012-02-15,4.33
579,2012-02-16,4.27
580,2012-02-17,4.41
581,2012-02-18,4.22
582,2012-02-19,4.39
583,2012-02-20,4.36
584,2012-02-21,4.27
585,2012-02-22,4.42
586,2012-02-23,5.01
587,2012-02-24,5.03
588,2012-02-25,4.77
589,2012-02-26,4.92
590,2012-02-27,4.96
591,2012-02-28,4.87
592,2012-02-29,4.86
593,2012-03-01,4.92
594,2012-03-02,4.7
595,2012-03-03,4.61
596,2012-03-04,4.82
597,2012-03-05,4.98
598,2012-03-06,4.99
599,2012-03-07,4.94
600,2012-03-08,4.93
601,2012-03-09,4.86
602,2012-03-10,4.83
603,2012-03-11,4.91
604,2012-03-12,4.89
605,2012-03-13,5.27
606,2012-03-14,5.38
607,2012-03-15,5.33
608,2012-03-16,5.34
609,2012-03-17,5.22
610,2012-03-18,5.28
611,2012-03-19,4.69
612,2012-03-20,4.84
613,2012-03-21,4.81
614,2012-03-22,4.7
615,2012-03-23,4.69
616,2012-03-24,4.68
617,2012-03-25,4.55
618,2012-03-25,4.62
619,2012-03-26,4.81
620,2012-03-27,4.79
621,2012-03-28,4.81
622,2012-03-29,4.86
623,2012-03-30,4.91
624,2012-03-31,4.83
625,2012-04-01,4.97
626,2012-04-02,4.95
627,2012-04-03,4.91
628,2012-04-04,4.92
629,2012-04-05,4.95
630,2012-04-06,4.69
631,2012-04-07,4.79
632,2012-04-08,4.87
633,2012-04-09,4.84
634,2012-04-10,4.93
635,2012-04-11,4.92
636,2012-04-12,4.94
637,2012-04-13,4.96
638,2012-04-14,4.97
639,2012-04-15,4.93
640,2012-04-16,4.98
641,2012-04-17,5.12
642,2012-04-18,5.14
643,2012-04-19,5.35
644,2012-04-20,5.26
645,2012-04-21,5.2
646,2012-04-22,4.96
647,2012-04-23,5.1
648,2012-04-24,5.13
649,2012-04-25,5.1
650,2012-04-26,5.11
651,2012-04-27,4.98
652,2012-04-28,4.9
653,2012-04-29,4.95
654,2012-04-30,5.0
655,2012-05-01,5.07
656,2012-05-02,5.13
657,2012-05-03,5.07
658,2012-05-04,5.08
659,2012-05-05,5.05
660,2012-05-06,5.06
661,2012-05-07,5.05
662,2012-05-08,5.04
663,2012-05-09,4.85
664,2012-05-10,4.96
665,2012-05-11,4.95
666,2012-05-12,4.93
667,2012-05-13,5.01
668,2012-05-14,5.04
669,2012-05-15,5.09
670,2012-05-16,5.1
671,2012-05-17,5.12
672,2012-05-18,5.1
673,2012-05-19,5.09
674,2012-05-20,5.1
675,2012-05-21,5.1
676,2012-05-22,5.14
677,2012-05-23,5.12
678,2012-05-24,5.15
679,2012-05-25,5.1
680,2012-05-26,5.14
681,2012-05-27,5.14
682,2012-05-28,5.15
683,2012-05-29,5.14
684,2012-05-30,5.18
685,2012-05-31,5.27
686,2012-06-01,5.25
687,2012-06-02,5.21
688,2012-06-03,5.27
689,2012-06-04,5.44
